productid;product_name;customer_rating;ratingquartile
bacc35dd-c2bc-48b2-ab0b-8f521383a6b3;Generic Concrete Fish;4.23;1
ed2597d3-0e23-45ea-aee9-b98554f75bbc;Modern Bronze Chips;4.23;1
69cea6ff-cecd-4c90-a39f-6e16c9529174;Sleek Cotton Ball;4.20;1
be37e74d-7751-48ef-88f2-f18c908f7544;Recycled Fresh Pizza;4.19;1
8327a1c7-6a7b-4c89-a6e6-607f5963c9ed;Intelligent Plastic Bacon;4.18;1
a265a254-f7a4-40b3-a7ca-5bd415acc171;Small Bronze Shirt;4.16;1
969cee7a-ab3a-486a-9507-06a04c4eef3e;Fantastic Bronze Soap;4.10;1
e4b7e63f-f6a0-44a2-a5ef-3937894fd187;Tasty Fresh Mouse;4.10;1
e02e37a4-5e4c-471f-971e-8ad5a484956e;Awesome Soft Fish;4.09;2
7ea624a0-9a2d-470d-8037-155b5fb60f02;Ergonomic Wooden Sausages;4.07;2
a6dc90a4-80a9-4f35-9d4e-bb446f85e39d;Ergonomic Bronze Computer;4.05;2
63116ae4-864a-41cd-8157-910dea464936;Rustic Steel Towels;4.03;2
e443c69d-6eb1-47f9-afd1-0b0c8ba059c3;Handcrafted Concrete Ball;4.03;2
a5e7183a-7cd9-4a7b-84b2-2315d516c1a3;Luxurious Rubber Car;4.01;2
c990bc75-bedc-40f7-94fe-f7775cf6bfc2;Oriental Fresh Bacon;3.99;2
13b92146-d8a7-44ed-acd8-22f77f0d5fee;Refined Rubber Pizza;3.95;2
aacf8b3c-0444-4d8a-9c67-f475f8496219;Luxurious Soft Computer;3.87;2
d961e74e-5347-456d-ac5f-6ea53a7823a3;Small Wooden Bike;3.87;2
aceb753a-4cba-4328-84f4-475c7ff95ef8;Generic Metal Sausages;3.83;2
42bcf927-eb06-4c9e-b790-97b6e812720a;Incredible Soft Shirt;3.78;2
3a1a43c6-0db7-4d1e-8dcf-378192ffaa54;Electronic Soft Computer;3.78;2
6b9ca9ab-7129-438c-8abf-2155002facfe;Electronic Granite Fish;3.74;2
e7e5bb51-44ff-4750-881c-5539a117793f;Unbranded Concrete Ball;3.74;2
8ad57e12-481c-4070-8596-719f631f4e9c;Handcrafted Metal Gloves;3.73;2
fdede80d-0958-47fe-b4b4-1b9e0b6dab93;Incredible Steel Computer;3.60;2
74850432-707c-4536-8dcc-7c2652835b5b;Bespoke Concrete Ball;3.59;2
91e2c107-533c-41d3-b83e-70f25823e01d;Modern Steel Shoes;3.57;2
412803df-bd6f-4ac0-81c3-598dbff75286;Licensed Wooden Tuna;3.54;2
a46a311b-80d0-4ad5-99bb-b62847ab5bce;Bespoke Metal Chips;3.49;2
60dc5a16-5588-493f-aeed-3286803708ce;Electronic Soft Chips;3.46;2
f1ffd976-a2c3-4c2a-8af2-3d836bd3b9e8;Ergonomic Fresh Gloves;3.45;2
076c15d7-56da-41a0-8790-184eeca2c409;Practical Granite Shoes;3.42;2
9af520f2-ae6e-44d1-89c2-79e6cdf38d96;Incredible Steel Computer;3.38;2
8acbf94a-2396-4d51-a673-21c67fc2cddf;Refined Cotton Chips;3.37;2
89a70e93-394e-47f7-a5af-483f54a1b147;Bespoke Metal Chips;3.37;2
a8be506f-95ad-451a-9d63-1e9e55da44e9;Luxurious Soft Tuna;3.36;2
93647d7e-ac48-4821-ae69-cec8564e1973;Sleek Concrete Sausages;3.36;2
c146abc7-f749-4d4c-a25d-38c597d3f407;Bespoke Soft Tuna;3.23;2
7a75eccc-c30e-4ca5-b7b2-c1198cea3dd0;Electronic Frozen Ball;3.20;2
04b0a4ac-88a3-4705-9eba-c8395e388be8;Unbranded Wooden Hat;3.16;2
ce836423-abdb-4acb-a119-3128c688f67b;Handmade Fresh Shirt;3.12;2
40e47309-97be-42d3-b18a-5816aa4fbcc7;Ergonomic Plastic Bike;3.10;2
117b14f7-5962-457b-b0da-aa093bba8411;Electronic Soft Chair;3.09;2
20b86413-cae6-4c47-be16-a33e3e240612;Electronic Frozen Soap;3.09;2
dbbd7c0d-600f-4ec6-96f1-161c2b335098;Incredible Bronze Chips;3.06;2
ca57e39c-d989-4665-9889-ebbec36b1975;Oriental Fresh Chicken;3.04;2
67daa134-b57d-43ef-a072-4fb271d06a94;Ergonomic Bronze Salad;3.02;3
d4031851-a14f-474a-8205-0d970999fabc;Intelligent Bronze Shoes;2.98;3
2453529a-bb92-4fd3-9f37-78a2d840a657;Oriental Plastic Computer;2.95;3
6cdbf8d0-1869-4cbe-afc4-373bff18e8ee;Small Metal Gloves;2.90;3
1a9f3c62-5ca9-42f0-87c8-379c49784907;Electronic Metal Table;2.89;3
b5e39fc0-39c7-4175-88ae-207e4d71d8b1;Gorgeous Metal Pants;2.87;3
3e55b947-3640-45c3-b328-b06f050a971b;Tasty Frozen Cheese;2.87;3
c5a5c85d-3e41-4e0d-af0d-d17e464a3e9f;Rustic Bronze Pants;2.85;3
e619d654-b457-4265-acfa-11959e3864e0;Recycled Metal Salad;2.83;3
9b3297ab-9e26-48d2-bd27-209461897b62;Rustic Rubber Mouse;2.79;3
1e63a9ec-5ced-45a7-aa80-3b22cef35f1d;Recycled Soft Car;2.77;3
347d68c9-241a-4c41-8751-1cb303445123;Licensed Wooden Pants;2.69;3
8c86fc61-e56a-48f5-989f-5811993863b7;Practical Metal Keyboard;2.69;3
f274ecae-4147-436f-9f55-7ffa5eb3b890;Modern Plastic Bike;2.63;3
b1746d78-367d-485f-aab5-4d6ba4087aff;Oriental Concrete Chicken;2.61;3
7dbca216-0428-4262-81b4-def5a1a7b62c;Rustic Bronze Chair;2.59;3
1297320b-9e91-4781-8fda-51d63662c774;Unbranded Soft Pants;2.56;3
4f7906db-ad3b-4798-b015-df571dcbe5bc;Handcrafted Plastic Keyboard;2.55;3
a08f4202-a83d-40bd-9915-ef6c516d4c34;Handcrafted Wooden Table;2.48;3
386ac093-5a43-439f-8ae1-d3e4c18aa34c;Tasty Steel Tuna;2.45;3
e7fb43de-37f1-4b62-8369-4061ba69cd17;Handmade Wooden Mouse;2.45;3
e613d8d3-b9fd-4ec2-9873-fc332c499977;Fantastic Fresh Towels;2.42;3
5c532726-29c2-49cd-9758-ee3ff976592f;Unbranded Soft Table;2.37;3
c93f7d18-3cdb-4cad-95db-68979cf6c2b9;Incredible Metal Pizza;2.36;3
948cb8ec-44f8-433b-8b17-23d7686cb04a;Elegant Bronze Soap;2.35;3
b8430c36-5521-4289-ae76-4a94679775c8;Handmade Concrete Tuna;2.33;3
f1b383aa-3e67-4fb1-89bf-455205f7422c;Incredible Frozen Chair;2.32;3
a7f2cc8c-837d-45c1-834b-96dcb7aea898;Tasty Wooden Pants;2.24;3
f93bbe09-9beb-4c00-a520-7828c1939387;Awesome Wooden Towels;2.24;3
a6478011-d64f-4bc5-a027-0d609d871167;Gorgeous Plastic Keyboard;2.22;3
f6eed39a-68de-462d-8035-d0d6247fd31a;Recycled Cotton Towels;2.17;3
e94b2684-e9c4-4ba1-912c-f066a824269b;Luxurious Concrete Table;2.16;3
1ebc8dcb-221d-4905-a559-321b5abe8100;Incredible Concrete Bacon;2.14;3
9f56615f-91f9-4108-a4cf-b38518f20a9e;Ergonomic Rubber Soap;2.09;3
a24abc3c-2bc3-4013-9a4a-c4b518a1098f;Licensed Bronze Shirt;2.08;3
b5de2d64-786e-4381-80c1-fc7b5fb549aa;Elegant Granite Ball;2.06;3
ae889e96-635a-432a-9b9d-0846ff434ddd;Awesome Metal Chips;2.06;3
0e852d92-6aa1-424a-a4c7-07a0e4d32c17;Handcrafted Concrete Ball;2.03;4
f2a4a7f8-0a5d-4fa6-9718-2c71b22f6439;Generic Rubber Car;2.00;4
fb433d92-4362-41cd-b2d3-fa51efa94dca;Ergonomic Concrete Shirt;1.99;4
41418e9b-2518-4974-97a5-82be79ef6adb;Awesome Wooden Salad;1.98;4
f2ce7d21-d01c-499c-98fc-ce8303ac83e5;Modern Plastic Shoes;1.96;4
df030da2-b877-4274-9dfd-94e9c43e1a0c;Sleek Plastic Table;1.93;4
1f40d9ef-0cd0-4dcc-a0a3-7962e6be7104;Luxurious Wooden Pants;1.91;4
4e2a101e-a286-49c2-94b1-6195f2bafaef;Tasty Concrete Bacon;1.90;4
7035613d-07fb-406b-987d-55661e71c428;Unbranded Metal Keyboard;1.88;4
11b50a0b-d95e-401c-b0cb-3b31df69c87f;Ergonomic Concrete Chair;1.85;4
47310854-0b88-4b89-b276-82105b70853f;Tasty Steel Ball;1.84;4
1be304fb-5d3d-4344-9755-ea18bbe9fe6a;Handcrafted Steel Chicken;1.77;4
2a01df4f-dd6d-4872-a707-e8e335e33053;Oriental Granite Shirt;1.76;4
1a8a892b-2c85-4a71-8c90-d86ebaa56ec1;Handcrafted Plastic Shoes;1.68;4
f5cca253-7874-410e-8779-3f4aac396e02;Unbranded Granite Gloves;1.66;4
b1fc8f54-5eb0-450a-aa69-c4eab9955322;Awesome Concrete Chicken;1.66;4
c1bb3a3b-cc86-4563-b760-7fbada902ce8;Elegant Steel Towels;1.59;4
bf22d5d1-3830-4459-8578-f53336fe9373;Practical Plastic Sausages;1.59;4
4f5b4b1c-380e-4310-b5b6-799dab3db8c5;Generic Steel Shoes;1.59;4
7421e4e5-6602-4ceb-b9c5-07fad32c2b4b;Handcrafted Metal Tuna;1.55;4
edd700d8-b7f9-4ae8-8213-dbc39df19110;Tasty Steel Towels;1.54;4
8f0c30a4-0e34-422f-96f9-06e4385ba6e8;Recycled Metal Chips;1.51;4
e3748d82-2ca7-4f59-85a0-ea25e2923a6f;Sleek Steel Fish;1.51;4
3c6a4e9b-6fbb-4818-884d-92d2b80a64d3;Awesome Bronze Towels;1.46;4
0249bc56-a9a3-4c27-9141-77d2af46c3c4;Licensed Cotton Keyboard;1.46;4
c14bc453-5c0e-43d5-968e-43d73ed735c3;Oriental Fresh Cheese;1.46;4
787d45c6-46a3-4cee-93b9-178a884618a8;Small Rubber Car;1.46;4
f2fae842-d729-4afc-860f-ab7058531ac3;Tasty Wooden Hat;1.45;4
23b4f883-7429-43e3-82c1-01db65124a8b;Awesome Concrete Cheese;1.44;4
9b9f3c70-994c-4b91-b391-2fa641b99f20;Elegant Concrete Shirt;1.38;4
a743baa3-6881-48ea-b03c-15ee5584c5a8;Electronic Bronze Towels;1.30;4
bf815778-b7d6-48b3-b89d-82343faff664;Elegant Metal Ball;1.30;4
58310911-90e8-41b4-8d11-3d14a0ed4794;Intelligent Fresh Chips;1.26;4
faedac59-0a88-4811-8449-7054fa3f1a79;Sleek Wooden Gloves;1.12;4
da087fa3-5b39-41ff-a711-756239be8fd7;Electronic Frozen Chips;1.06;4
c13829d3-04be-474b-bff9-e47a6a19095b;Elegant Rubber Hat;1.03;4
f2f12754-981b-4d54-aad1-c4090ab3cc95;Intelligent Frozen Computer;1.01;4
