"date","time_of_the_day","week day","weekday_weekend","month","quarter","semester","season","year","peak_shopping_time","promotional_period","order_processing_time","return_period"
"6/11/2023","06:26:18","1","Workday","6","Second","First","Spring","2023","12:23:25","None","13","15"
"6/12/2023","04:29:49","2","Workday","6","Second","First","Spring","2023","12:20:03","None","20","17"
"6/13/2023","13:04:41","3","Workday","6","Second","First","Spring","2023","11:22:50","None","11","1"
"6/14/2023","13:28:03","4","Workday","6","Second","First","Spring","2023","12:42:47","None","1","11"
"6/15/2023","04:49:49","5","Workday","6","Second","First","Spring","2023","13:29:38","None","17","17"
"6/16/2023","09:28:07","6","Weekend","6","Second","First","Spring","2023","14:21:07","None","1","3"
"6/17/2023","16:02:13","7","Weekend","6","Second","First","Spring","2023","11:09:47","None","4","15"
"6/18/2023","10:33:01","1","Workday","6","Second","First","Spring","2023","12:55:22","None","8","18"
"6/19/2023","18:56:01","2","Workday","6","Second","First","Spring","2023","13:19:12","None","7","2"
"6/20/2023","02:36:51","3","Workday","6","Second","First","Spring","2023","14:27:48","None","8","14"
"6/21/2023","00:17:09","4","Workday","6","Second","First","Summer","2023","14:45:11","None","13","4"
"6/22/2023","10:59:14","5","Workday","6","Second","First","Summer","2023","12:21:01","None","15","6"
"6/23/2023","01:43:40","6","Weekend","6","Second","First","Summer","2023","11:30:35","None","4","18"
"6/24/2023","13:11:58","7","Weekend","6","Second","First","Summer","2023","13:54:31","None","8","11"
"6/25/2023","02:11:29","1","Workday","6","Second","First","Summer","2023","12:24:08","None","18","12"
"6/26/2023","09:02:25","2","Workday","6","Second","First","Summer","2023","12:48:50","None","12","7"
"6/27/2023","18:35:02","3","Workday","6","Second","First","Summer","2023","14:46:16","None","3","20"
"6/28/2023","15:53:28","4","Workday","6","Second","First","Summer","2023","14:36:36","None","15","1"
"6/29/2023","02:46:55","5","Workday","6","Second","First","Summer","2023","11:22:02","None","3","16"
"6/30/2023","09:43:05","6","Weekend","6","Second","First","Summer","2023","12:14:09","None","10","17"
"7/1/2023","16:04:31","7","Weekend","7","Third","Second","Summer","2023","12:08:07","None","3","4"
"7/2/2023","23:40:30","1","Workday","7","Third","Second","Summer","2023","14:59:31","None","10","2"
"7/3/2023","05:55:40","2","Workday","7","Third","Second","Summer","2023","13:43:10","None","4","10"
"7/4/2023","03:44:30","3","Workday","7","Third","Second","Summer","2023","14:16:06","None","15","18"
"7/5/2023","07:21:37","4","Workday","7","Third","Second","Summer","2023","13:05:38","None","6","8"
"7/6/2023","22:11:54","5","Workday","7","Third","Second","Summer","2023","12:56:36","None","20","15"
"7/7/2023","12:40:10","6","Weekend","7","Third","Second","Summer","2023","13:47:14","None","20","9"
"7/8/2023","14:57:46","7","Weekend","7","Third","Second","Summer","2023","12:24:43","None","2","1"
"7/9/2023","20:33:02","1","Workday","7","Third","Second","Summer","2023","11:15:08","None","18","10"
"7/10/2023","16:05:47","2","Workday","7","Third","Second","Summer","2023","12:34:28","None","5","16"
"7/11/2023","15:53:34","3","Workday","7","Third","Second","Summer","2023","14:45:44","None","4","13"
"7/12/2023","22:13:07","4","Workday","7","Third","Second","Summer","2023","12:37:15","None","8","13"
"7/13/2023","21:38:49","5","Workday","7","Third","Second","Summer","2023","13:26:44","None","17","1"
"7/14/2023","20:40:58","6","Weekend","7","Third","Second","Summer","2023","13:05:51","None","8","11"
"7/15/2023","05:36:08","7","Weekend","7","Third","Second","Summer","2023","11:42:25","None","2","11"
"7/16/2023","12:09:11","1","Workday","7","Third","Second","Summer","2023","11:52:29","None","7","3"
"7/17/2023","20:24:58","2","Workday","7","Third","Second","Summer","2023","14:08:50","None","7","20"
"7/18/2023","03:30:13","3","Workday","7","Third","Second","Summer","2023","14:33:48","None","7","8"
"7/19/2023","06:24:01","4","Workday","7","Third","Second","Summer","2023","14:30:41","None","14","19"
"7/20/2023","04:31:11","5","Workday","7","Third","Second","Summer","2023","14:21:17","None","3","18"
"7/21/2023","05:02:27","6","Weekend","7","Third","Second","Summer","2023","13:08:48","None","17","19"
"7/22/2023","16:04:16","7","Weekend","7","Third","Second","Summer","2023","11:47:28","None","18","12"
"7/23/2023","08:47:13","1","Workday","7","Third","Second","Summer","2023","13:35:10","None","8","8"
"7/24/2023","02:11:28","2","Workday","7","Third","Second","Summer","2023","14:10:20","None","8","13"
"7/25/2023","02:09:13","3","Workday","7","Third","Second","Summer","2023","11:17:32","None","8","6"
"7/26/2023","21:59:34","4","Workday","7","Third","Second","Summer","2023","14:27:44","None","13","20"
"7/27/2023","11:01:01","5","Workday","7","Third","Second","Summer","2023","11:07:29","None","16","8"
"7/28/2023","03:13:25","6","Weekend","7","Third","Second","Summer","2023","11:04:51","None","2","3"
"7/29/2023","21:12:45","7","Weekend","7","Third","Second","Summer","2023","12:59:57","None","4","4"
"7/30/2023","04:44:43","1","Workday","7","Third","Second","Summer","2023","11:14:06","None","18","14"
"7/31/2023","10:24:25","2","Workday","7","Third","Second","Summer","2023","13:34:54","None","3","20"
"8/1/2023","12:55:51","3","Workday","8","Third","Second","Summer","2023","11:34:04","Summer Sales","4","14"
"8/2/2023","13:57:29","4","Workday","8","Third","Second","Summer","2023","13:08:31","Summer Sales","13","16"
"8/3/2023","20:22:34","5","Workday","8","Third","Second","Summer","2023","11:21:28","Summer Sales","9","7"
"8/4/2023","08:49:25","6","Weekend","8","Third","Second","Summer","2023","14:48:35","Summer Sales","18","20"
"8/5/2023","08:00:52","7","Weekend","8","Third","Second","Summer","2023","14:53:03","Summer Sales","12","17"
"8/6/2023","18:47:26","1","Workday","8","Third","Second","Summer","2023","14:44:03","Summer Sales","18","15"
"8/7/2023","09:23:00","2","Workday","8","Third","Second","Summer","2023","11:38:42","Summer Sales","20","13"
"8/8/2023","06:40:33","3","Workday","8","Third","Second","Summer","2023","11:09:35","Summer Sales","4","1"
"8/9/2023","00:34:52","4","Workday","8","Third","Second","Summer","2023","12:33:32","Summer Sales","19","12"
"8/10/2023","13:23:55","5","Workday","8","Third","Second","Summer","2023","11:55:27","Summer Sales","17","20"
"8/11/2023","03:36:42","6","Weekend","8","Third","Second","Summer","2023","13:26:20","Summer Sales","7","6"
"8/12/2023","03:44:40","7","Weekend","8","Third","Second","Summer","2023","12:43:12","Summer Sales","19","10"
"8/13/2023","07:57:50","1","Workday","8","Third","Second","Summer","2023","14:34:27","Summer Sales","11","8"
"8/14/2023","06:18:50","2","Workday","8","Third","Second","Summer","2023","11:47:55","Summer Sales","10","20"
"8/15/2023","22:30:58","3","Workday","8","Third","Second","Summer","2023","13:42:41","Summer Sales","15","3"
"8/16/2023","02:59:27","4","Workday","8","Third","Second","Summer","2023","13:25:25","Summer Sales","5","8"
"8/17/2023","00:19:55","5","Workday","8","Third","Second","Summer","2023","12:37:46","Summer Sales","10","17"
"8/18/2023","05:42:03","6","Weekend","8","Third","Second","Summer","2023","13:06:20","Summer Sales","6","11"
"8/19/2023","23:40:05","7","Weekend","8","Third","Second","Summer","2023","11:54:13","Summer Sales","20","8"
"8/20/2023","07:34:45","1","Workday","8","Third","Second","Summer","2023","14:10:17","Summer Sales","10","19"
"8/21/2023","09:28:03","2","Workday","8","Third","Second","Summer","2023","12:24:47","Summer Sales","7","6"
"8/22/2023","22:38:15","3","Workday","8","Third","Second","Summer","2023","13:17:22","Summer Sales","8","11"
"8/23/2023","01:42:27","4","Workday","8","Third","Second","Summer","2023","14:19:02","Summer Sales","20","2"
"8/24/2023","20:56:08","5","Workday","8","Third","Second","Summer","2023","13:38:39","Summer Sales","11","5"
"8/25/2023","03:40:10","6","Weekend","8","Third","Second","Summer","2023","11:18:58","Summer Sales","19","8"
"8/26/2023","22:16:12","7","Weekend","8","Third","Second","Summer","2023","12:25:51","Summer Sales","4","18"
"8/27/2023","18:25:00","1","Workday","8","Third","Second","Summer","2023","12:41:10","Summer Sales","9","9"
"8/28/2023","17:16:53","2","Workday","8","Third","Second","Summer","2023","11:13:45","Summer Sales","13","3"
"8/29/2023","05:53:56","3","Workday","8","Third","Second","Summer","2023","13:17:27","Summer Sales","17","18"
"8/30/2023","08:50:30","4","Workday","8","Third","Second","Summer","2023","12:35:39","Summer Sales","13","4"
"8/31/2023","14:22:07","5","Workday","8","Third","Second","Summer","2023","14:02:48","Summer Sales","5","17"
"9/1/2023","18:28:33","6","Weekend","9","Third","Second","Summer","2023","14:28:28","Summer Sales","16","19"
"9/2/2023","03:09:22","7","Weekend","9","Third","Second","Summer","2023","11:14:06","Summer Sales","6","10"
"9/3/2023","00:04:14","1","Workday","9","Third","Second","Summer","2023","12:35:09","Summer Sales","4","16"
"9/4/2023","19:04:51","2","Workday","9","Third","Second","Summer","2023","14:08:41","Summer Sales","8","15"
"9/5/2023","06:03:16","3","Workday","9","Third","Second","Summer","2023","14:36:07","Summer Sales","7","1"
"9/6/2023","14:49:12","4","Workday","9","Third","Second","Summer","2023","11:05:35","Summer Sales","5","16"
"9/7/2023","12:06:19","5","Workday","9","Third","Second","Summer","2023","12:17:06","Summer Sales","13","7"
"9/8/2023","01:41:57","6","Weekend","9","Third","Second","Summer","2023","14:19:04","Summer Sales","5","11"
"9/9/2023","15:04:42","7","Weekend","9","Third","Second","Summer","2023","12:50:41","Summer Sales","4","8"
"9/10/2023","13:06:54","1","Workday","9","Third","Second","Summer","2023","14:52:49","Summer Sales","3","1"
"9/11/2023","01:36:22","2","Workday","9","Third","Second","Summer","2023","13:48:27","Summer Sales","6","12"
"9/12/2023","19:28:07","3","Workday","9","Third","Second","Summer","2023","11:14:20","Summer Sales","20","10"
"9/13/2023","13:21:51","4","Workday","9","Third","Second","Summer","2023","12:42:46","Summer Sales","9","17"
"9/14/2023","17:38:57","5","Workday","9","Third","Second","Summer","2023","11:59:15","Summer Sales","15","19"
"9/15/2023","15:35:10","6","Weekend","9","Third","Second","Summer","2023","13:12:33","Summer Sales","10","9"
"9/16/2023","10:06:26","7","Weekend","9","Third","Second","Summer","2023","11:55:09","Summer Sales","11","16"
"9/17/2023","06:13:34","1","Workday","9","Third","Second","Summer","2023","13:48:23","Summer Sales","19","2"
"9/18/2023","17:06:07","2","Workday","9","Third","Second","Summer","2023","13:19:44","Summer Sales","16","10"
"9/19/2023","17:52:38","3","Workday","9","Third","Second","Summer","2023","14:51:36","Summer Sales","6","19"
"9/20/2023","10:50:06","4","Workday","9","Third","Second","Summer","2023","12:02:07","Summer Sales","12","7"
"9/21/2023","09:34:49","5","Workday","9","Third","Second","Summer","2023","13:46:57","Summer Sales","20","13"
"9/22/2023","19:52:07","6","Weekend","9","Third","Second","Summer","2023","11:30:40","Summer Sales","2","2"
"9/23/2023","09:58:38","7","Weekend","9","Third","Second","Autumn","2023","14:58:26","Summer Sales","20","8"
"9/24/2023","18:13:54","1","Workday","9","Third","Second","Autumn","2023","13:09:02","Summer Sales","18","2"
"9/25/2023","17:18:07","2","Workday","9","Third","Second","Autumn","2023","13:03:21","Summer Sales","13","20"
"9/26/2023","00:09:36","3","Workday","9","Third","Second","Autumn","2023","14:19:57","Summer Sales","17","9"
"9/27/2023","12:05:25","4","Workday","9","Third","Second","Autumn","2023","13:46:39","Summer Sales","11","3"
"9/28/2023","17:15:47","5","Workday","9","Third","Second","Autumn","2023","12:32:34","Summer Sales","8","3"
"9/29/2023","13:53:52","6","Weekend","9","Third","Second","Autumn","2023","14:35:04","Summer Sales","7","2"
"9/30/2023","04:25:27","7","Weekend","9","Third","Second","Autumn","2023","11:15:35","Summer Sales","17","6"
"10/1/2023","08:51:38","1","Workday","10","Fourth","Second","Autumn","2023","13:47:32","Black Friday","18","4"
"10/2/2023","12:16:27","2","Workday","10","Fourth","Second","Autumn","2023","14:31:07","Black Friday","13","5"
"10/3/2023","04:08:36","3","Workday","10","Fourth","Second","Autumn","2023","11:03:37","Black Friday","9","14"
